Loss Type,Beta,Pearson Correlation,Spearman Correlation,Cosine,Entropy,Active Neurons
Beta,1,0.19048441758312537,0.9826972309147705,0.6035808722178141,0.6850484,1.253224331079038
Beta,1,0.2554953513479766,0.9826921977564158,0.6271735628445944,0.6964919,1.259495022562089
Beta,1,0.2596930668960303,0.9838421442795321,0.6212855378786722,0.7060364,1.262636109293131
Beta,1,0.23244119253599513,0.9828735249716546,0.5907061696052551,0.70261127,1.2629277515605923
Beta,1,0.2670145545873483,0.9834148589804679,0.6252597173055013,0.70519406,1.2654679480555269
TC,1,0.25834342504456226,0.9832257895699446,0.6221777200698853,0.7090464,1.269145625940087
TC,1,0.23672195852999067,0.9830798155975993,0.5960681438446045,0.6960809,1.2575675810149305
TC,1,0.18800236171569176,0.9828673683124464,0.6137682000796,0.6822044,1.2466520462800301
TC,1,0.23151328141052474,0.9816505702819264,0.6068805456161499,0.69195735,1.260906157785356
TC,1,0.22571505753092871,0.9832249069379806,0.6125090718269348,0.70233876,1.2630490778057173
Beta,5,0.2594926991601505,0.9822894974657389,0.6474692424138387,0.6941823,1.2635940890771933
Beta,5,0.2683300518870773,0.983232051633447,0.6436885396639506,0.6932839,1.2603749248887204
Beta,5,0.25822906704327914,0.9828182366721995,0.6341978510220846,0.7068038,1.2657044768236254
Beta,5,0.2027200832651149,0.9825584987155374,0.6320794026056925,0.67774135,1.2554878118792554
Beta,5,0.28279574743151564,0.9830555036324213,0.6513344645500183,0.71194583,1.273628956020193
TC,5,0.2415827598584094,0.9834277272442762,0.6133002638816833,0.7100448,1.265810876496006
TC,5,0.2628379688067672,0.9823407569250401,0.627153734366099,0.6937674,1.260052664010502
TC,5,0.27136547590908067,0.9827103679374769,0.6123894453048706,0.70614076,1.2704438550361874
TC,5,0.19260351272124568,0.9825521132315487,0.6220384240150452,0.6558311,1.2381461962117124
TC,5,0.2365823815601257,0.9823595203134218,0.6286863883336385,0.6937209,1.26234791161938
Beta,10,0.28551328902263745,0.982912507277728,0.6652502218882242,0.7153007,1.268881906965725
Beta,10,0.26012122742148486,0.9838686503316992,0.6751113533973694,0.41438466,1.2204804060027787
Beta,10,0.16633889586971748,0.9811051730899193,0.655305027961731,0.59490705,1.228809667063184
Beta,10,0.28068563202427715,0.9830519095596332,0.6597097516059875,0.4133816,1.2214215290025474
Beta,10,0.20973896817517712,0.9802771089422411,0.624245822429657,0.6458654,1.2498387725818854
TC,10,0.25714945656072147,0.9827908041609593,0.6552706758181254,0.40066147,1.2092958102258504
TC,10,0.18768991575623697,0.9814763680518054,0.6508238116900126,0.4242483,1.2109989704492132
TC,10,0.1755074344270664,0.9819283643569365,0.6646029750506083,0.36420968,1.1697801966480277
TC,10,0.2969701090753298,0.9840689816022371,0.6763057311375936,0.41464657,1.211875428182135
TC,10,0.2175936751065811,0.9846612051500921,0.6606094042460123,0.4184824,1.2227936420454764
